ESC000;Villa Marina;Este hotel, antigua mansión embrujada, ofrece vistas impresionantes al mar. Entre sus muros susurran leyendas de antaño, y se rumorea que sombras danzan en las ventanas al anochecer. Aun así, la majestuosidad del océano desde sus habitaciones cautiva a los valientes visitantes;Italia;85;Ap-De-Ru 
ESC001;Casona Vasca;Esta casona vasca, testigo del tiempo, se erige como un relicario de historias ancestrales. Desde sus ventanas, el paisaje verde de los campos ondula con la brisa. Leyendas rurales cobran vida entre sus paredes de piedra, mientras que las vistas campestres cautivan a quienes se aventuran a descubrir los secretos de este hogar centenario;España;110;Ap-De-Ol-Ru
ESC002;Casa Otoñal;En un bosque misterioso, esta casa otoñal se funde con la paleta de colores de la estación. Sus ventanas reflejan la danza de hojas doradas, mientras sus rincones guardan susurros de la naturaleza. Una escapada encantadora para los amantes del otoño;Austria;95;De-Ru
ESC003;Refugio Playero;Ubicado en una playa soleada, este refugio playero invita al descanso con sus vistas al mar infinito. La brisa marina acaricia las ventanas, creando una sinfonía relajante. Un destino idílico para aquellos que buscan la serenidad frente al océano;Grecia;165;Ap-De-Ol-Ru
ESC004;Edificio Abandonado;En el corazón de la ciudad, un edificio abandonado se convierte en un testimonio silencioso del pasado. Sus pasillos vacíos y ventanas rotas cuentan historias olvidadas. Una experiencia única para quienes buscan la belleza en la decadencia urbana;Francia;55;Ap-Ru
ESC005;Palacio en la Villa;Entre jardines exquisitos, este palacio en una villa es una joya arquitectónica. Sus salones suntuosos cuentan cuentos de nobleza y elegancia. Una oportunidad para sumergirse en el lujo de la vida palaciega;Italia;225;Ap-De-Ol-Ru
ESC006;Residencia Elegante;Otra elegante residencia espera en una villa encantada. Sus habitaciones exquisitamente decoradas transportan a los visitantes a una época de opulencia y sofisticación. Un retiro encantador para los amantes de la belleza clásica;Portugal;275;De-Ol
ESC007;Refugio en el Pantano;En un pantano misterioso y espeluznante, este refugio ofrece una experiencia única. La neblina cubre el paisaje, creando un ambiente intrigante. Para aquellos valientes que buscan la emoción de lo desconocido;Rumanía;130;Ap-De-Ol-Ru
ESC008;Casa de Lujo Encantada;Esta casa de lujo encantada combina la modernidad con el encanto del pasado. Sus comodidades de primera clase y detalles encantadores la convierten en una opción exclusiva para los viajeros que buscan lo mejor de ambos mundos;Suiza;750;Ap-De-Ob-Ol-Ru
ESC009;Mansión Moderna;En un entorno lujoso, esta mansión moderna ofrece una experiencia de lujo contemporáneo. Sus interiores elegantes y servicios de alta gama garantizan una estancia inolvidable para aquellos que buscan lo último en comodidad y estilo;Alemania;1350;Ap-De-Ob-Ol-Ru
 
